Date,Open,High,Low,Close,Moving Average 50,Moving Average 15
5/15/2015 1:00:00 PM,545.12,545.48,544.8,544.9,546.2488,543.876
5/15/2015 1:10:00 PM,544.9,545.59,544.86,545.56,546.2418,543.988
5/15/2015 1:20:00 PM,545.56,545.57,545.15,545.49,546.2218,544.066
5/15/2015 1:30:00 PM,545.49,545.83,545.3,545.81,546.2028,544.1713
5/15/2015 1:40:00 PM,545.81,546.17,545.51,546.02,546.1832,544.2673
5/15/2015 1:50:00 PM,546,546.35,545.82,546,546.1708,544.49
5/15/2015 2:00:00 PM,546,546.49,545.95,546.31,546.1642,544.7274
5/15/2015 2:10:00 PM,546.31,546.54,545.78,546.03,546.1336,544.938
5/15/2015 2:20:00 PM,546.03,546.33,545.89,546,546.1376,545.1453
5/15/2015 2:30:00 PM,546,546.29,545.85,546,546.1414,545.3
5/15/2015 2:40:00 PM,546,546.45,545.86,546.16,546.1496,545.4614
5/15/2015 2:50:00 PM,546.16,546.34,545.64,545.68,546.1276,545.6266
5/15/2015 3:00:00 PM,545.75,546.17,545.62,545.77,546.102,545.7267
5/15/2015 3:10:00 PM,545.77,546.22,545.43,546.12,546.0808,545.798
5/15/2015 3:20:00 PM,546.12,546.59,545.99,546.03,546.0506,545.8586
5/15/2015 3:30:00 PM,546.02,546.17,545.77,545.84,546.0198,545.9213
5/15/2015 3:40:00 PM,545.84,546.15,545.71,546.1,546.0008,545.9573
5/15/2015 3:50:00 PM,546.1,546.23,545.93,546.08,545.9784,545.9966
5/15/2015 4:00:00 PM,546.08,546.69,546.03,546.49,545.9482,546.042
5/18/2015 9:40:00 AM,543.82,544.16,542.66,543.36,545.842,545.8647
5/18/2015 9:50:00 AM,543.1,543.66,542.28,543.64,545.739,545.7073
5/18/2015 10:00:00 AM,543.64,545.22,542.91,543.97,545.6434,545.5513
5/18/2015 10:10:00 AM,543.88,544.53,542.69,542.8,545.5284,545.336
5/18/2015 10:20:00 AM,542.8,543.13,542.25,542.85,545.4098,545.126
5/18/2015 10:30:00 AM,542.85,542.85,542.31,542.68,545.2824,544.9047
5/18/2015 10:40:00 AM,542.68,544.22,542.57,543.79,545.1882,544.7466
5/18/2015 10:50:00 AM,543.79,544.64,543.28,543.29,545.081,544.5873
5/18/2015 11:00:00 AM,543.29,543.45,542.8,543.22,544.965,544.4173
5/18/2015 11:10:00 AM,543.22,544.42,543.22,544.42,544.8728,544.304
5/18/2015 11:20:00 AM,544.42,544.51,543.92,544.28,544.7734,544.1873
5/18/2015 11:30:00 AM,544.28,544.47,543.85,544.47,544.7306,544.096
5/18/2015 11:40:00 AM,544.47,544.69,544.03,544.18,544.67,543.968
5/18/2015 11:50:00 AM,544.11,544.35,542.25,542.7,544.5908,543.7427
5/18/2015 12:00:00 PM,542.9,543.28,542.7,543.08,544.5536,543.5153
5/18/2015 12:10:00 PM,543.08,544.32,543.01,544.05,544.5374,543.5613
5/18/2015 12:20:00 PM,544.05,544.39,543.79,544.14,544.531,543.5947
5/18/2015 12:30:00 PM,544.14,545.2,544.06,544.83,544.55,543.652
5/18/2015 12:40:00 PM,544.68,545.14,544.24,544.96,544.5628,543.796
5/18/2015 12:50:00 PM,545.13,545.6,544.92,545.31,544.5844,543.96
5/18/2015 1:00:00 PM,545.31,546.01,545.22,545.44,544.6016,544.144
5/18/2015 1:10:00 PM,545.41,546,545.26,545.97,544.6678,544.2893
5/18/2015 1:20:00 PM,545.97,546.23,545.4,545.75,544.7278,544.4533
5/18/2015 1:30:00 PM,545.75,546.13,545.5,545.58,544.782,544.6107
5/18/2015 1:40:00 PM,545.58,546.23,545.45,546.22,544.8486,544.7307
5/18/2015 1:50:00 PM,546.22,546.76,545.96,546.27,544.9004,544.8633
5/18/2015 2:00:00 PM,546.27,547.83,546.17,547.5,544.9756,545.0653
5/18/2015 2:10:00 PM,547.5,548.34,547.25,547.25,545.0566,545.27
5/18/2015 2:20:00 PM,547.25,547.71,547.08,547.13,545.1138,545.5653
5/18/2015 2:30:00 PM,547.19,547.27,546.1,546.27,545.1382,545.778
5/18/2015 2:40:00 PM,546.35,546.96,546.02,546.88,545.1734,545.9667
5/18/2015 2:50:00 PM,546.83,546.89,546.21,546.49,545.2052,546.1234
5/18/2015 3:00:00 PM,546.49,546.8,546.21,546.7,545.228,546.248
5/18/2015 3:10:00 PM,546.7,547.6,546.43,547.38,545.2658,546.4094
5/18/2015 3:20:00 PM,547.38,547.94,546.97,547.77,545.305,546.5734
5/18/2015 3:30:00 PM,547.9,548.28,547.55,547.55,545.3356,546.714
5/18/2015 3:40:00 PM,547.55,547.99,546.85,546.85,545.3526,546.7726
5/18/2015 3:50:00 PM,546.79,547.08,546.48,546.84,545.3632,546.8453
5/18/2015 4:00:00 PM,546.84,547.1,546.3,546.67,545.376,546.918
